MIN ,MIN Per Game,Point,Rebound,Assist,Steal,FG%,3P%,FT%,Age,Position
0,0,0,0,0,0,0,1,0,0,PG
1,1,1,0,1,1,0,1,1,0,PG
0,0,0,1,0,0,1,1,1,1,PF
0,1,0,1,0,0,0,0,0,1,PF
1,1,1,1,1,1,1,1,1,0,C
1,1,1,1,0,1,1,1,0,0,C
1,1,0,0,0,1,1,1,1,0,SG
0,1,1,1,1,0,0,1,1,1,SG
0,0,0,0,0,0,0,0,1,1,C
1,1,0,1,0,0,1,1,0,1,C
0,0,1,0,1,1,0,1,1,1,SG
0,0,0,1,0,0,1,0,1,1,C
1,0,0,1,0,1,0,1,1,1,SF
0,0,0,0,0,0,0,1,1,1,SG
0,0,0,0,0,0,1,1,0,0,SF
1,1,1,1,0,0,1,0,1,1,C
1,1,1,1,0,0,1,1,0,0,PF
0,1,1,1,0,1,1,0,1,0,PG
0,0,0,0,0,0,0,0,0,1,SG
1,1,1,1,0,1,1,0,0,1,C
1,1,0,0,1,1,1,1,0,0,SF
1,0,0,0,1,0,1,0,1,0,PG
1,0,0,1,0,1,1,0,0,1,SG
0,1,1,1,0,0,1,1,1,0,C
0,0,0,0,0,0,0,0,1,0,SF
1,1,0,1,1,0,1,0,0,0,C
0,0,0,0,0,0,1,1,0,1,PF
1,1,1,1,1,1,1,1,1,1,SG
0,0,0,1,0,0,0,1,0,1,PF
1,1,1,1,1,1,1,0,1,1,PF
1,1,1,0,0,1,1,1,1,0,SG
1,0,0,0,0,0,0,1,1,1,PF
0,0,0,0,0,0,0,1,1,1,SG
0,0,0,0,0,0,1,0,0,0,C
0,0,0,1,0,0,1,0,1,0,C
1,1,1,0,0,0,0,1,1,0,SG
0,0,0,0,0,0,0,1,1,1,SF
1,1,0,0,1,0,0,1,0,1,SG
1,1,1,0,0,1,0,1,1,1,SG
0,0,0,0,0,0,1,1,1,0,SG
1,1,1,0,0,1,1,1,1,1,SG
1,0,0,0,1,0,1,1,1,1,PG
0,0,0,0,0,0,1,0,1,0,C
1,0,0,1,0,0,1,0,0,1,C
1,1,1,1,1,1,1,1,1,1,PF
1,1,1,0,0,0,1,1,1,1,SF
1,1,1,1,1,0,1,1,1,0,PF
1,1,1,1,1,1,0,1,1,1,SG
1,0,0,1,0,1,1,0,0,0,C
1,1,1,1,0,0,1,1,1,0,PF
0,0,0,0,0,1,0,0,0,1,PF
0,1,1,0,1,1,0,1,1,1,PG
1,1,1,1,1,1,0,1,1,1,SG
0,0,0,0,0,0,0,0,0,0,SG
0,0,0,0,0,0,1,0,0,0,C
1,0,0,0,1,0,0,1,1,0,PG
1,1,1,1,0,0,1,0,1,1,C
0,0,0,0,0,0,0,1,0,1,SF
0,0,0,0,0,0,0,1,1,1,PG
