Name,MIN,MIN Per Game,Point,Rebound,Assist,Steal,FG%,3P%,FT%,Age,Pos
AJ Price,324,12.46153846,133,32,46,7,37.2,26.3,66.7,29,PG
Aaron Brooks,1885,22.98780488,954,166,261,54,42.1,38.7,83.3,30,PG
Aaron Gordon,797,16.95744681,243,169,33,21,44.7,27.1,72.1,20,PF
Adreian Payne,740,23.125,213,162,30,19,41.4,11.1,65.2,24,PF
Al Horford,2318,30.5,1156,544,244,68,53.8,30.6,75.9,29,C
Al Jefferson,1992,30.64615385,1082,548,113,47,48.1,40,65.5,30,C
Alan Anderson,1744,23.56756757,545,204,83,56,44.3,34.8,81.2,33,SG
Alec Burks,899,33.2962963,374,114,82,17,40.3,38.2,82.2,24,SG
Alex Kirk,14,2.8,4,1,1,0,25,0,100,24,C
Alex Len,1518,22,432,454,32,34,50.7,33.3,70.2,22,C
Alexey Shved,767,18.26190476,434,99,106,30,39.7,33.8,80.7,27,SG
Alexis Ajinca,957,14.07352941,443,315,47,21,55,0,81.8,27,C
Al-Farouq Aminu,1366,18.45945946,412,342,59,70,41.2,27.4,71.2,25,SF
Allen Crabbe,683,13.39215686,168,73,39,19,41.2,35.3,75,23,SG
Alonzo Gee,661,12.24074074,241,94,25,35,46.8,37.1,70.1,28,SF
Amar'e Stoudemire,1244,21.08474576,680,329,45,29,55.7,0,72,,
Amir Johnson,1979,26.38666667,694,456,117,44,57.4,41.3,61.2,28,PF
Anderson Varejao,636,24.46153846,255,170,35,19,55.5,0,73.3,,
Andre Dawkins,22,5.5,3,2,1,0,16.7,16.7,0,24,SG
Andre Drummond,2502,30.51219512,1130,1104,55,73,51.4,0,38.9,22,C
Andre Iguodala,2069,26.87012987,604,257,228,89,46.6,34.9,59.6,31,SF
Andre Miller,1253,15.4691358,355,153,284,32,50,20.6,75.3,39,PG
Andre Roberson,1286,19.19402985,228,255,70,53,45.8,24.7,47.9,24,SG
Andrea Bargnani,785,27.06896552,430,127,46,2,45.4,36.6,81.3,30,C
Andrei Kirilenko,36,5.142857143,3,8,1,1,0,0,75,34,SF
Andrew Bogut,1583,23.62686567,422,543,180,39,56.3,0,52.4,31,C
Andrew Nicholson,492,12.3,194,82,22,6,43.7,31.7,60,26,PF
Andrew Wiggins,2969,36.20731707,1387,374,170,86,43.7,31,76,,
Anthony Bennett,894,15.68421053,298,216,48,27,42.1,30.4,64.1,22,PF
Anthony Davis,2455,36.10294118,1656,696,149,100,53.5,8.3,80.5,22,PF
Anthony Morrow,1806,24.40540541,790,195,60,54,46.3,43.4,88.8,30,SG
